"","full_text","display_text_range","retweet_count","favorite_count","lang","followers_count","friends_count","url","description","verified"
"11","RT @Teen_ageNetwork: Calling on all stakeholders to take actions against indiscriminate felling of trees.

We can't keep destroying our lan…",140,1,0,"en",207,210,"https://t.co/MISAfj9i2E","Executive Director @Teen_ageNetwork | Advocate @SDGsInSchools| Global Youth Ambassador @TheirWorld|  Member @SigmaNursing | Teens Coach|https://t.co/W3xtGoKVmj",FALSE
"12","RT @metoffice: In our latest #climate newsletter, learn about our February theme - ‘Water Security’💧 &amp; its links to #ClimateChange

Plus:
-…",144,1,0,"en",2250,2730,NA,"Weather is my passion! If you want to ask a question, tweet me! I feature on BBC local radio and Central TV . My blog: https://t.co/WLRue4xUhF",FALSE
"13","RT @Pak_Weather: 🛑 True Example of #ClimateChange, this 230 ft taller block of Ice is breaking off a #glacier in #PeritoMorino, #Argentina.…",140,63,0,"en",36,724,NA,"",FALSE
"14","RT @Alexander_Lees: The contrasting fortunes of two warblers from the new @_BTO Trends Explorer represent a clear signal for both #ClimateC…",140,8,0,"en",6271,5068,"https://t.co/mkqhlTtpHq","Evolutionary biologist, photographer & professor. 

@EvolOdonata@ecoevo.social

https://t.co/HoEI1f2x7A

https://t.co/FLWu84vyLh",FALSE
"15",".
#free webinar recording

Planning for the climate emergency

https://t.co/iXYe5felu5

#GreenInfrastructure #greenspaces
#flood #flooding #climatechange",153,0,0,"en",7308,4062,"https://t.co/Brw8iEqVuV","#GreenInfrastructure & #greenspaces ~ #fundraising 4 #nature & #German #Translations ~  #naturalcapital #ecology #conservation #greenroofs #SuDS 🇬🇧🇩🇪🇪🇺",FALSE
"16","What's the Difference Between Cleaning Vinegar and White Vinegar? https://t.co/SmUthHLgxu  #centuryproductsllc #germs #viruses #cleaning #environment #pathogens #foodsafety #cleaningtips #health #holidays #climatechange #environment #greencleaning",247,0,0,"en",1359,1787,"http://t.co/7HerRRbf7S","Century Products LLC is your cleaning expert. We provide quality mops, brooms, buckets, brushes & other cleaning supplies to meet all of your cleaning needs!",FALSE
"17","RT @ClimatChristo: 7-day forecast 01.03.2023

Heat is climbing in N Hemisphere 
Various heat blobs will be moving around
Africa 
#Arctic 
N…",140,2,0,"en",29,104,NA,"Şiir yazarım climate crisis",FALSE
"18","RT @nobnyandire: Looks like the petitioners challenging the nominees to the National Climate Change council are working together with PACJA…",140,6,0,"en",972,1521,NA,"YDA @PACJA$KPCG,Climate Justice Advocate YouthAndWomen Activist ,
Human Right Defender,
Laikipia SUSO Director
Laikipia Tripple P Director,
Youth leader",FALSE
"19","Calling on all stakeholders to take actions against indiscriminate felling of trees.

We can't keep destroying our lands in the name of urbanisation.
#NoPlanetB
#treeplantation #Climatechange #ClimateEmergency #ClimateActionNow https://t.co/7o0xIARG5r",227,1,1,"en",425,243,"https://t.co/RdzWO7wxgN","Leveraging the transformative power of education to raise effective teenage leaders.

Member- Global Feminist Coalition for Education.",FALSE
"20","Big Oil Expands Assault on California’s Health and Climate Laws - “
“As these politically based policies hit the public and don’t work and they’re expensive, the public backlash against these policies is what will sink climate progress,” #climatechange  https://t.co/9OLrLCeGdh",277,0,0,"en",241,1869,"https://t.co/sjeaqb2Wbq","""I hope that my achievements in life shall be these-that I will have fought for what was right and fair” Black and Blue in a red state",FALSE
"21","RT @hollyanndoan: 74% of young Canadians tell @environmentca poll they’re “afraid of the impacts of #climatechange on their friends and lov…",140,12,0,"en",442,1054,NA,"Screenplay Writer/Actor, Curates for Important Stories, Walk away Liberal Party, Dislikes extremists both sides. Common Sense Logic Reason Rationale. Spiritual.",FALSE
"22","RT @IndianExpress: #ClimateChange | Researchers have raised an alarm citing an increase in frequency of extreme #ElNiño, #LaNiña events by…",139,3,0,"en",352,228,NA,"",FALSE
"23","India is a model for the world: Bill Gates #ClimateChange #health #innovation via https://t.co/SEoTsMgYLQ https://t.co/WqBTCTTw1H",129,0,0,"en",184,264,NA,"Helping others achieve impact.",FALSE
"24","India is a model for the world: Bill Gates #ClimateChange #health #innovation via https://t.co/E5Vg24J7Dj https://t.co/ecNgsWP1b7",129,0,0,"en",437,1702,NA,"The Green Mobile Community - Pay Forward for our Planet
https://t.co/IWUApVMCA9
https://t.co/iLmt1XoNEy",FALSE
"25","The Wild Atlantic Way at Maghery, Dungloe, Co. Donegal.    Happy Viewing  ! !    #donegal    #wildatlanticway    #climatechange   #globalwarming     #art     #artist    #photographer   #creativity https://t.co/krfsgNC5qs",196,0,0,"en",80,46,"https://t.co/lZYuSc3bDf","Business Advice & Consultancy Services
MSc in Business Management
https://t.co/lZYuSc3bDf",FALSE
"26","RT @sciaf: .@rickyaross and Lorraine McIntosh from Deacon Blue took to the streets of Glasgow to launch our WEE BOX appeal that supports so…",140,7,0,"en",1063,2696,"https://t.co/v9rJnyhj3h","I'm just a daft old idiot, a mad man without his box! Love my Doctor Who, Star Wars, Marvel/DC, Rangers, Everton and Wrestling. He/Him You/Who #NSNO",FALSE
"27","RT @MalawiUNICEF: At the Girls Leadership #ClimateAction meeting, happening now, young leaders are asking important questions like: How doe…",140,4,0,"en",753,109,NA,"",FALSE
"28","@S_D_Mannix @GeraldKutney Yep, but not his level of Status in the AGW CO2 #climatechange #ClimateCult https://t.co/r4gRwUV5mF",101,0,0,"en",658,376,NA,"Fossil fueled FUTURE...",FALSE
"29","""How can #AI #IoT #blockchain support the renewable energy value chain &amp; how can they contribute to accelerating the uptake of renewables?"" - @HullinMartin @thedatasphere at #SPIREC2023 in #Madrid. 

#dataforclimate #sdgs #renewables #climatechange #policy https://t.co/reYq08N3w3",260,0,1,"en",752,720,"https://t.co/uFAfqXXMwT","The Datasphere Initiative is a global network of stakeholders with a mission to develop agile frameworks to responsibly unlock the value of data for all.",FALSE
"30","RT @RobSchuwerk: A new study shows that Florida, California, and Texas are part of the list of the 20 areas globally that are the most vuln…",140,4,0,"en",2532,1131,NA,"Former opinion editor for @GainesvilleSun. Alumnus of @OhioState, @PointParkU and @AmeriCorpsNCCC.",FALSE
"31","RT @gaspworld: Australia faces unprecedented grassfires next summer ‘supercharged’ by global heating
#gaspworld #globalwarming #climatechan…",140,2,0,"en",3106,87,"https://t.co/TKSiagJIfm","Secretary-General @gaspworld; Chancellor @kissfoundation; Senior Distinguished Fellow @ICRAF",FALSE
"32","RT @FAOclimate: Colombia is leading the way in reducing greenhouse gas emissions &amp; adapting to #climatechange in agriculture sub-sectors th…",144,2,0,"en",145,177,NA,"",FALSE
"33","No Climate Change Scheme for the Green Growth Sector? | #impri Insights Press Release

By-Aanchal Karnani

IMPRI Impact and Policy Research Institute

 #greengrowth #climatechange  #impact #policy 

Aanchal Karnani Diya Goswami

https://t.co/ZOUGvn3863 https://t.co/0gVTlNvYb9",252,0,0,"en",2047,4996,"https://t.co/juaFHhN1OF","IMPRI is a platform for pro-active, independent, non-partisan and policy-based research. It contributes to debates and deliberations for action-based solutions.",FALSE
"34","No Climate Change Scheme for the Green Growth Sector? | #impri Insights Press Release

By-Aanchal Karnani

IMPRI Impact and Policy Research Institute

 #greengrowth #climatechange  #impact #policy 

Aanchal Karnani Diya Goswami

https://t.co/ZOUGvn3863",252,0,0,"en",2047,4996,"https://t.co/juaFHhN1OF","IMPRI is a platform for pro-active, independent, non-partisan and policy-based research. It contributes to debates and deliberations for action-based solutions.",FALSE
"35","India is a model for the world: Bill Gates #Innovation #climatechange #health via https://t.co/ZkGZHy7Db6 https://t.co/QURMfMY9R1",129,0,0,"en",8930,9641,"https://t.co/RnepKEqNif","The future is in data analytics and humor. #analytics #AI #dataviz #neuralnetwork #humor https://t.co/yN3SMYo8N5 https://t.co/TmLIxvCs5G https://t.co/jM6N8DLHSR",FALSE
"36","RT @Alexander_Lees: The contrasting fortunes of two warblers from the new @_BTO Trends Explorer represent a clear signal for both #ClimateC…",140,8,0,"en",306,755,NA,"Gay Bird Nerd, Behavioural Ecologist, PhD Student at Queens University & Thermoregulatory Wizard. He/him",FALSE
"37","#ClimateChange and #BiodiversityLoss crisis are deeply connected. We must address both.

@wef presents 3 ways we can move from words to action: https://t.co/DeFPqOiizi #OneOceanOnePlanet",186,0,0,"en",3953,1347,"https://t.co/E8euTxaAcJ","Unbranded, collective drive to achieve maximum impact for the #ocean, by supporting groups to align around key objectives. @OceanFlotilla@mastodon.world",FALSE
"38","RT @WorldBankWater: 💧 Water
🌾 Food &amp;
⚡️ Energy
Insecurity is exacerbated by #ClimateChange 🌡️ in the #Nile basin.

Isaac Alukwe works w/ @c…",144,1,0,"en",145,177,NA,"",FALSE
"39","NEWS - The New York Times : How climate change is spreading malaria in Africa.
The mosquitoes that transmit the disease dramatically increased their range over the last century as temperatures warmed, scientists reported.
#malaria #climatechange #africa
https://t.co/XjJFzHDlOC https://t.co/rwzaMEWg6r",277,0,0,"en",242,32,"http://t.co/S4HlISCPoe","Ieder jaar sterven zo'n 600.000 mensen, met name kinderen onder de 5, aan malaria, een gevaarlijke ziekte door muggen overgedragen. Het is tijd voor actie.",FALSE
"40","RT @dheenylkhair: Let's get real about #climatechange! To keep global temps below 1.5°C, we can't afford any more fossil fuel investments.…",139,15,0,"en",97,213,NA,"Teacher, 

Mathematician, 

Climate activist from DR Congo @RiseUpMovDRC

chihunguinnocent@gmail.com",FALSE
"41","The need to address #climatechange is greater than ever &amp; to reach our #netzero goals, the 1.2M biz in Canada need to do their part. @GreenEconomyCa’s #ClimateActionBootCamp helps #SMEs learn about their emissions &amp; how to take action.➡️ https://t.co/WKJUKqLFm8 https://t.co/CeoxMRfvIh",269,0,1,"en",1748,495,"https://t.co/a9f89s5biM","Build momentum. Transform potential. Create tangible change. Become a community leader. Contribute to a healthier, thriving community and economy.",FALSE
"42","RT @ActuariesInst: ICYMI: The full #ICA2023 program is out now! Check out the session times and tailor your schedule on our website 👉  
htt…",140,0,0,"en",2556,78,"http://t.co/7Miic1Im4y","Official Twitter account for the International Actuarial Association, the worldwide association of professional actuarial associations.",FALSE
"43","RT @lienvandamme: It is happening: Vanuatu &amp; others are bringing the world's biggest problem to the world's highest court ⚖️. 

Read the dr…",144,145,0,"en",372,2001,"https://t.co/aThtdyrwzz","Solar Energy Civilization",FALSE
"44","The UK government's flagship green heating scheme has been described as ""seriously failing"" by a Lords inquiry. The Boiler Upgrade Scheme provides households with £5,000 to assist with the transition from a gas... #ClimateChange #CostofLiving #Energy https://t.co/V5BYqEOF6P",274,0,0,"en",3410,3156,NA,"I'm an ex police sgt  my views are my own. #Thinblueline #protectourpolice",FALSE
"45","Congratulations to Agtelligence - one of nine organisations in the UK to benefit from the @spacegovuk and @Space4Climate fund 👏

Aim: to boost the UK's agricultural sector's ability to adapt to #climatechange🚜

They joined us at @HarwellCampus last year.
https://t.co/c1VoFwA7X6 https://t.co/2OLvNsDFNR",278,0,0,"en",2080,1116,"https://t.co/gFco4zx8Fi","ESA Business Incubation Centre United Kingdom supports space-related start-ups to grow & thrive. Managed by @STFC_B2B, part of @UKRI_news.",FALSE
"46","RT @UNESCOWWAP: Have you heard of the #FAST inititiative?

👉 A multi-stakeholder partnership to accelerate the transformation of agrifood s…",140,2,0,"en",145,177,NA,"",FALSE
"47","RT @PatriciaSally_N: #Climatechange, #inequality and other global challenges require urgent &amp; coordinated action. Banks must be part of the…",144,4,0,"en",3815,4390,"https://t.co/xClbulJOgI","She/Her French scouser
Born @ 339ppm Trade Union organiser @TippingPointorg
#ClimateJustice #HumanRights  #FossilFree #Decolonisation #Disability
@unitetheunion",FALSE
"48","NEWS - How climate change is spreading malaria in Africa.
The New York Times - The mosquitoes that transmit the disease dramatically increased their range over the last century as temperatures warmed, scientists reported.
#malaria #climatechange #africa
https://t.co/mU7dCf0H1T https://t.co/ddQRb0g0M7",277,0,0,"en",1294,24,"https://t.co/O4SUQ8ZoE8","Malaria is a dangerous disease transmitted by mosquitoes. Every year some 600.000 people, mainly children under 5, die of malaria. It's time for action.",FALSE
"49","RT @Sandeep4Earth: #globalwarming #climatechange #climatecrisis #climateaction #climate #climatestrike #climatechangeisreal #climateemergen…",140,37,0,"und",1,6,NA,"",FALSE
"50","NEWS - How climate change is spreading malaria in Africa.
The New York Times - The mosquitoes that transmit the disease dramatically increased their range over the last century as temperatures warmed, scientists reported.
#malaria #climatechange #africa
https://t.co/XHuhcCDZfl https://t.co/sA47mhCdAu",277,1,1,"en",3571,77,"http://t.co/v2VvwHRayh","MalariaWorld provides the latest on malaria, be it scientific developments, articles, jobs, etc.",FALSE
"51","RT @stopEACOP: #Climatechange, #inequality and other global challenges require urgent &amp; coordinated action. Banks must be part of the solut…",144,8,0,"en",288,242,NA,"",FALSE
"52","RT @AaravSeth_: #ClimateChange is real- 
#Arctic 105 years ago vs now. https://t.co/xsTQebA52Z",94,1590,0,"en",21,272,"https://t.co/W7Ub9LhREX","Multi-Disciplinary *Artist * Writer * Gallery * Jewellery Designer *Entrepreneur 
Literature + Fine Art + Fashion + Interior Effects",FALSE
"53","RT @UNYouthEnvoy: Have you ever been confused by #ClimateChange terminology &amp; concepts when you browse news/scroll through your feeds/enter…",144,2,0,"en",54808,34747,"https://t.co/PWzRGUmzDq","Climate Justice Advocate | Exec Coordinator @AYICC @ClimateWed | Social Media Consultant @AfDB_Group | Youth FP @GEF_SGP 🇳🇬 | Fellow @atlascorps @StateIVLP 🌱",FALSE
"54","Most Battery Cells &amp; Battery Packs In Plug-In Vehicles Sold In The US From 2010 To 2021 Were Domestically Produced https://t.co/BS3PYIExdr #Tesla #EV #ClimateChange #Renewables #RenewableEnergy",197,0,1,"en",245,976,"https://t.co/istY1Bq9cf","Zulu, X-ray, Charlie etc... Enthusiastic EV driver & advocate. Failed techblogger. Failed YouTuber. I like yellow. Get your Elon's Song NFT here:",FALSE
"55","Lack of sense of danger
Greenhouse gas emissions will determine the future
The turning point is in front of us
#Climate 
#Climatechange
#ClimateEmergency #ClimateCrisis #気候緊急事態 #気候危機 https://t.co/pTmPiNIke7",182,0,0,"en",942,1021,NA,"The infinite universe, the natural world, and the small human society within it
A greedy society that destroys, scrambles and never finds happiness in its heart",FALSE
"56","@GBNEWS #ClimateChange #ClimateHoax #ClimateScam #ByDesign",58,0,0,"und",95,116,NA,"Trump Won. The Deep State is real. “Media” is an agenda-driven, for-profit industry competing for eyeballs and minds by any means (and lies) necessary.",FALSE
"57","RT @lienvandamme: It is happening: Vanuatu &amp; others are bringing the world's biggest problem to the world's highest court ⚖️. 

Read the dr…",144,145,0,"en",74077,2681,NA,"Secretary General, Amnesty International. Ex Special Rapporteur on ExtraJudicial Executions (2016-2021). Ex Columbia Univ. Tweets on human rights. Views my own.",TRUE
"58","RT @EuroseedsEU: Farmers will need a genetically diverse portfolio of improved crop varieties that are suited to a range of agro-ecosystems…",140,1,0,"en",4233,1759,NA,"Creo en el individuo, la vida, la libertad y la propiedad. Mis opiniones son personales y en ejercicio del derecho de libre expresión.",FALSE
"59","RT @hollyanndoan: 74% of young Canadians tell @environmentca poll they’re “afraid of the impacts of #climatechange on their friends and lov…",140,12,0,"en",226,906,NA,"Blah dee blahh blahhh",FALSE
"60","RT @CambridgeMOF: 📆SAVE THE DATE April 29, 3pm Climate Cafe' with Mothers Out Front: How to talk about #climatechange with our children htt…",140,2,0,"en",967,878,NA,"NP,photobiz mgr,Bubbe,#MaskFairy A household’s only as safe as its least careful member & as vulnerable as its most vulnerable member.Wear a respirator.@theWHN",FALSE
"61","RT @AqlilaA: #FossilFuels – coal, oil and gas – are by far the largest contributor to global #climatechange, accounting for over 75%  of gl…",140,18,0,"en",1849,4999,NA,"",FALSE
"62","RT @Apya_106: Sustainability is all we need........ please retweet 
@greenliving4lyf 
#Sustainability #environment #LYEAGhana #climatechang…",140,3,0,"en",21,272,"https://t.co/W7Ub9LhREX","Multi-Disciplinary *Artist * Writer * Gallery * Jewellery Designer *Entrepreneur 
Literature + Fine Art + Fashion + Interior Effects",FALSE
"63","RT @nomadic_sanjee: @ModiCoder @RehanJayawick @sjbsrilanka @VraieB @sajithpremadasa @HarshadeSilvaMP @chamithwije True leadership is about…",139,1,0,"en",1753,4999,NA,"Just a traveller,guilty of life long learning, emotional intelligence,climate action & spreading humanity. Learning from pandemic,war & revolution.😷💙💛🇱🇰💚",FALSE
"64","@ModiCoder @RehanJayawick @sjbsrilanka @VraieB @sajithpremadasa @HarshadeSilvaMP @chamithwije True leadership is about uniting people and not being silent in the face of mud slinging. #recycling #CircularEconomy #climatechange #climatejustice #thriftfashion are topics embraced by developed countries. Why is the SJB silent in the face of stigmatisation of used clothes? 2/",373,1,0,"en",1753,4999,NA,"Just a traveller,guilty of life long learning, emotional intelligence,climate action & spreading humanity. Learning from pandemic,war & revolution.😷💙💛🇱🇰💚",FALSE
"65","📢📢 Register now for the '#Climatechange and #greentransition as global challenges for science &amp; society', 2nd Atmosphere and Climate Competence Center #ACCC Impact Week, 11-14 April at Cultural Center Sofia, Helsinki! https://t.co/ySk3l7KNN9 ⤵️ https://t.co/HNaZlBQaeZ",248,0,0,"en",1625,940,"https://t.co/iRNV0oJy2t","The Center for Climate Change, Energy and Environmental Law (CCEEL) is a platform for research and education at @UEFLawShool at @UniEastFinland.",FALSE
"66","RT @mindingottawa: In-house @EnvironmentCa research finds most young Canadians are frightened of #ClimateChange, feel ""sad"" and ""helpless""…",139,5,0,"en",36,158,NA,"Former intelligence analyst promoting critical thinking. I find myself on the opposite side of the political spectrum for the first time in my 50 years.",FALSE
"67","@StepChangeIndia , a Bengaluru-based startup, is on a mission to help companies reduce their Scope 3 emissions and push them towards their net-zero goals. 

Watch now- https://t.co/cZDnAsPNsd

#netzero #climatechange #tech4good",227,0,0,"en",15702,486,"https://t.co/jbnH4nmXsE","Explain The Newest Technologies, And Their Commercial, Social And Political Impact",FALSE
"68","@RealDLHughley #Biden denied leasing for #Oil drilling- depleting our reserves and causing #Inflation and #Shortages to fight #ClimateChange

To anyone who is suffering under the cost of living, KNOW that the Biden administration and their supporters are responsible

https://t.co/Hnrb2r6FdU",291,0,0,"en",188,1349,NA,"Comedian",FALSE
"69","Sven’s Solar News Today:

#svenvanzanten #solar #renewables #climatechange #sustainability #Environment #Energy #CleanEnergy #electricity #solarenergy #SolarPower #energietransitie #zonnepanelen #klimaat #Nederland https://t.co/Ilw4U5WMBo",214,0,0,"sv",1054,1131,"https://t.co/atjXpYNOaz","Welcome to the twitterpage of Sven van Zanten. Sharing knowledge about future proof energy solutions, fighting climate change using technologic innovation.",FALSE
"70","We have limited or no control over ecosystems! Learning and unlearning from the impact of their interractions create a sustainable co-exisitence #nature #biodiversity #sustainability #climateaction #climatechange https://t.co/uYQ8MFvS7I",212,0,1,"en",89,76,NA,"",FALSE
"71","He sees investment in the #sustainable human settlement as the most critical strategy for controlling and adapting to #climatechange. 
#BlackHistoryMonth",153,0,0,"en",503,259,"https://t.co/QejNXp2DjL","Leveraging Machine Learning technology to identify, plan and operationalise Sustainability & Carbon Net Zero ambitions; balancing people, planet, and profit.",FALSE
"72",".
#climate activist @SorengArchana believes indigenous knowledge can save the planet
via @VOGUEIndia

https://t.co/pgv9d1oFhg

#ClimateChange #GlobalWarming  #ClimateAction #ClimateCrisis #ClimateEmergency",205,0,0,"en",7169,7011,"https://t.co/jIHfaclAVs","practical #ClimateAction ~ Join my journey to #ZeroCarbon ~ #climate #ClimateChange #videos ~ #hope in the face of #GlobalWarming & #ClimateCrisis ~ born 329ppm",FALSE
"73","RT @enricomolinari: Ocean plastic waste is a large and growing problem, but where does it come from? 

@StatistaCharts via @enricomolinari…",139,3,0,"en",241,601,NA,"Biologist, Lawyer, Trader & entre",FALSE
"74","#Watch | Ladakh hosts first-ever half-marathon on a frozen lake
#Ladakh #PangongTsoLake #marathon #Tourism #GuinnessWorldRecords #Leh #climatechange #glaciers #environment #news #latestnews #IndianJourno https://t.co/JvIVwkBOHw",203,0,0,"en",488,71,"https://t.co/mOBqevcU82","Indian Journo is the medium of informing you on the latest and various news events and will help you stay up to date on the events shaping our world.",FALSE
"75","RT @DrMelanieJoy: Learn more at https://t.co/UJrfVc3XP8. 🔗

Retweet to help #EndClimateCarnism. 🐮🌍

#Kittengate #climatecarnism #climatecha…",140,2,0,"en",10649,7576,"https://t.co/DmEP7dQBTX","Assoc Prof Animal Behaviour Welfare @HKVetSchool @CAHWCityU https://t.co/qESdN8gKmn Tweets: animals, environment, science, higher ed, DEI, ethics. 🌈🇮🇪 he/him",FALSE
"76","#StartFund is responding in anticipation of severe weather conditions in #Mongolia called #Dzud. Communities across the globe are facing more frequent climate-related humanitarian disasters and the impact of #climatechange cannot be ignored. Learn more:
https://t.co/vfGX4E8mAd https://t.co/rqXcpl4ALm",277,0,1,"en",11305,2327,"https://t.co/qtR73VDZwk","An international network of NGOs, catalysing a new era of #humanitarian action, through proactive financing, innovation and locally led action.",FALSE
"77","RT @UNYouthEnvoy: Have you ever been confused by #ClimateChange terminology &amp; concepts when you browse news/scroll through your feeds/enter…",144,2,0,"en",1160,2515,"https://t.co/yXMkH9sHD8","I was born inside the belly of a blazing Comet",FALSE
"78","RT @OurOceanPanama: 2022 was the hottest year for the ocean: #GreenhouseGasEmissions are making the ocean warmer and more acidic and leadin…",140,18,0,"en",1793,2089,"https://t.co/lnTe0Xw7bC","The International Alliance to Combat Ocean Acidification is an international network of governments and organizations working to address ocean acidification.",FALSE
"79","RT @JoacimRocklov: Check this paper out if you are concerned about #onehealth and #climatechange. Here we project the increasing suitabilit…",140,2,0,"en",932,1760,NA,"@NU_kouhou Researcher | @OxIHTM @GreenTempleton Alum | Global Health x Clinical Medicine | interested in infectious disease modeling | he/him",FALSE
"80","Have you ever been confused by #ClimateChange terminology &amp; concepts when you browse news/scroll through your feeds/enter a conversation on climate? 🤔

This easy-to-understand Climate Dictionary from @UNDP can help you grasp everything! 

Explore it 📗 https://t.co/q3yCHHRXwN https://t.co/VDulAehHYj",279,2,4,"en",215768,1581,"https://t.co/jX9IuVQuXq","Official account of the @UN Secretary-General's Envoy on Youth, Jayathma Wickramanayake — @jayathmadw. Bringing the UN closer to young people. #Youth2030",TRUE
"81","RT @peterjameswills: Very welcome visit from Federal Independent MPs @SophieScamps &amp; @KyleaTink to the #liverpoolplains today.

We thank th…",144,8,0,"en",524,1389,NA,"No time to be complacent. Authoritarians threatening democracy human rights and the environment. No time for ideologues. RT is not necessarily endorsement,",FALSE
"82","RT @macroymercados: Bill Gates says rich countries should be eating 100% synthetic beef. The one his company produces. https://t.co/0KQbpNe…",140,2,0,"en",3667,457,"https://t.co/9KNECBvF1k","Sociedad-Economía-Mercados-Política. Mi granito de arena para ayudar a entender el mundo. Denuncia de los abusos de bancos centrales e intervencionismo estatal.",FALSE
"83","RT @sciaf: .@rickyaross and Lorraine McIntosh from Deacon Blue took to the streets of Glasgow to launch our WEE BOX appeal that supports so…",140,7,0,"en",141,292,NA,"Living in the now, and loving every minute of it. Always appreciative of the good things in life. Excellent at keeping in touch with those close to me.",FALSE
"84","We all have a role to play in safeguarding our planet's current disaster as far as #climatechange, #climatejustice is concerned. @PACJA1 https://t.co/uZZ6gUa3Tb",136,0,0,"en",355,699,NA,"Investor, Human Resources, Climate Change Activist, Mental Health Enthusiast.",FALSE
"85","RT @Beumee: 🔴 Heaven's Above by Tessa Campbell Fraser FRBS
🔵 1st Edition - Sold
⚫ 2nd Edition - Can now be reserved by contacting art@beume…",140,1,0,"en",3446,8,NA,"Living Life",FALSE
"86","RT @PCarterClimate: REGIONAL WARMING TRENDS SHOW CATASTROPHIC CLIMATE CHANGE THREATS
From Hansen Sato data sets Jan 2023 (Columbia Earth)…",138,14,0,"en",3140,5003,NA,"From the beach",FALSE
"87","RT @paul_stegmann: The last article of my PhD thesis was just published. We compared the #climatechange impact and the material utility of…",139,1,0,"en",4898,1690,"https://t.co/lv6HCxCbye","Exploring a sustainable world. Part of @UUGeo at @UniUtrecht. Also check out our @FuturesStudioUU! Tweets mostly by impact/comms officer @carcs20.",FALSE
"88","RT @PCarterClimate: REGIONAL WARMING TRENDS SHOW CATASTROPHIC CLIMATE CHANGE THREATS
From Hansen Sato data sets Jan 2023 (Columbia Earth)…",138,14,0,"en",361,134,NA,"Every life is precious-pristine: they support your very life.
Nyambi pewarta kebangkrutan gudang areng si Kowix 🤗",FALSE
