"","created_at","id_str","full_text","display_text_range","retweet_count","favorite_count","lang","name","screen_name","followers_count","friends_count","location","description","verified"
"57",2022-12-29 09:38:30,"1608381936384229381","Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/njuKWM8ZY4

#WeMeanToClean #Volunteering #Volunteer #Shramdaan #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/PlB3RiEoc2",255,0,0,"en","Manish Khurana","ManishKhurana",1203,198,"New Delhi, India","Co-founder @WeMeanToClean | #WeMeanToClean | #Volunteering | #Shramdaan | #CleanDelhi | #SwachhBharat | #Delhi | #India | #GlobalWarming | #ClimateAction",FALSE
"58",2022-12-29 09:38:30,"1608381935964807170","Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/XK3ZReQKWN

#WeMeanToClean #Volunteering #Volunteer #Shramdaan #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/1jKFu862lk",255,0,0,"en","We Mean To Clean","WeMeanToClean",2352,81,"New Delhi, Delhi","#WeMeanToClean | #CleanDelhi #SwachhBharat | #WasteManagement #Composting #HomeComposting | #Plantation #Afforestation | #Cleanup #CleanupDrive | #ClimateAction",FALSE
"59",2022-12-29 09:38:29,"1608381931267280897","RT @mrillig: Soil viral diversity, ecology and climate change
@NatureRevMicro 
by Jansson and Wu 

#soil #virus #ClimateChange
https://t.co…",140,22,0,"en","Guillem Coll García","CollGuillemProk",244,670,"Palma, España","FPU Predoctoral Researcher at @IMEDEA_UIB_CSIC and @univienna working with halophiles. @ASMicrobiology Young Ambassador in Spain. Microbial lover!🧫🔬🏳️‍🌈",FALSE
"60",2022-12-29 09:37:37,"1608381714513928192","RT @BrianMcHugh2011: Climate change won't make winter storms and blizzards go away: Scientists explain why

Why climate change brings more…",139,4,0,"en","Sarah Warren 🌍💚💙","SarahWa72623615",601,827,"South Somerset, UK","Love life on earth. 2👌daughters. Climate activist. All electric. Flight-free. Birds. Nature. Rewilding. Green Party. BLM. She/her",FALSE
"61",2022-12-29 09:37:25,"1608381662739431427","RT @Dott_Nebo: #EGU23 deadline is on January 10! If you work in #agronomy, #ecology, #forestry or #landscape design, with #soil, #weeds, #s…",140,2,0,"en","AgroInsights ","AgroInsights",140,138,"","Your agricultural tech tweets. Focused on high tech, sustainability and innovation.

🌎 🌍 🌏",FALSE
"62",2022-12-29 09:37:13,"1608381612219138048","RT @UNEP_NAmerica: From #UNEA to #COP15 and everything in between-

Look back on @UNEP’s 2022 environmental milestones advancing global eff…",140,9,0,"en","Mika Ainasoja","MikaAinasoja",494,1707,"Raisio, Suomi","Synnyin Nivalassa, Turussa arkeologiksi. Rauhaisaa elämää Raision Viheriäisissä s-eläkeläisenä. Epilepsia leikattu! 💗 Politiikkaa, ruokaa, arkeologiaa...! 🧐🤓",FALSE
"63",2022-12-29 09:37:03,"1608381570284683265","RT @IndiaToday: .@bidishasaha1996 and @Ghongha007 track the climate catastrophes that hit the planet in 2022. #climatechange

https://t.co/…",140,2,0,"en","IndiaTodayFLASH","IndiaTodayFLASH",1173258,117,"","No dragging feet on news. Crisp & short news shots served here",TRUE
"64",2022-12-29 09:36:45,"1608381495369924609","RT @ICRAF: We need to think beyond implementation to transformation. We need to see #climatechange, #biodiversity loss, &amp; the many health a…",144,2,0,"en","Ecology Tweets","ecology_tweets",5742,1,"everywhere and everywhen","Retweeting all things #EcologyTwitter. Fully automated. Maintained by @MikeMahoney218",FALSE
"65",2022-12-29 09:36:30,"1608381434305052672","RT @zerocitizen_io: In some great news for sustainable aviation travel, the world's first net zero transatlantic flight is set to take plac…",140,4,0,"en","M₳RC","Marc_0CZN",1479,2559,"England, United Kingdom","Born 345.79 | #Vegan Ⓥ | #DairyFree 🥛 | @zerocitizen_io | #ClimateChange 🌍 | #ADA ₳ | #Cardano 💙 | #TheWanderingCitizen 🕵️‍♂️ |  #TWCFollower 🔎",FALSE
"66",2022-12-29 09:36:10,"1608381348275965952",".@bidishasaha1996 and @Ghongha007 track the climate catastrophes that hit the planet in 2022. #climatechange

https://t.co/mpefreE9uA",133,2,5,"en","IndiaToday","IndiaToday",6229778,114,"India","Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. https://t.co/4QkZBcgPH5 | https://t.co/pmDGIBbj9z",TRUE
"67",2022-12-29 09:35:12,"1608381103685107712","RT @Electroversenet: In the name of #ClimateChange, a startup (Make Sunsets) is releasing sulfur into the atmosphere to BLOCK THE SUN--and…",139,65,0,"en","Dmitri Postolaki🇪🇪🐸","Frogzter12",29,134,"","“The people here are amazing debaters. I guess you can say they are master-baters.”",FALSE
"68",2022-12-29 09:35:00,"1608381054171189248","Highlight 5️⃣ Showcasing how physiology changes the world🌍
Our new video shows how #physiology underpins our survival and is key to improving health, treating disease and tackling global challenges like #ClimateChange📽️https://t.co/7bud7Rr12i",242,0,1,"en","The Physiological Society","ThePhySoc",19924,2655,"Global","Europe's largest network of physiologists. At the forefront of science for 145 years. Home of @JPhysiol @ExpPhysiol @PhysRep",TRUE
"69",2022-12-29 09:34:03,"1608380814743556097","Only a week left to submit your paper for an upcoming issue of Municipal Engineer on the topic of the increasing impact of #climatechange on municipal #engineering. Share your work with us and it could be seen by professionals around the world 👉 https://t.co/XtLMjALjSJ https://t.co/dmsUzcMTHA",269,0,0,"en","ICE Publishing","ICEpublishing",4689,1530,"","Publishing arm of @ICE_Engineers, our portfolio of journals & books provide the most comprehensive coverage of civil engineering and related fields in the world",FALSE
"70",2022-12-29 09:33:27,"1608380664608600064","RT @ClaireKraatz: @hikerdoc1 @drg1985 There is consensus ⬇️ #climatechange https://t.co/217yjPqKDS",98,1,0,"en","Claire Kraatz","ClaireKraatz",1708,5002,"Calgary, Alberta","Mom, wife, educator, activist. Passionate about people and our beautiful planet. Treaty 7. She/her 🌎",FALSE
"71",2022-12-29 09:33:16,"1608380617984708609","@hikerdoc1 @drg1985 There is consensus ⬇️ #climatechange https://t.co/217yjPqKDS",80,1,1,"en","Claire Kraatz","ClaireKraatz",1708,5002,"Calgary, Alberta","Mom, wife, educator, activist. Passionate about people and our beautiful planet. Treaty 7. She/her 🌎",FALSE
