"","full_text","display_text_range","retweet_count","favorite_count","lang","followers_count","friends_count","url","location","description","verified","default_profile"
"11","Portable Modular Energy Storage System!

Ask for it by name ""voltWALL""

INVEST in voltWALL here, NOW! https://t.co/UEcoZEDwij
Like, Reply or Retweet and get DM Freebie.....
@RaiseGreenInc #Energystorage #InvestGreen #ClimateChange #Invest https://t.co/FYO3inTjLG",238,0,0,"en",1230,2209,"https://t.co/tnKZKhEcyy","global","Essential Leadership - A journey from head to heart - Discovering the Leader in you and empowering you towards your inevitable success.",FALSE,FALSE
"12","✨ New #Programming opportunity:
 
💼 Full Stack Engineer at
🍀 Xeal @xealenergy
📍 Remote, United States
 
Apply now!
 
#ClimateChange #ClimateJobs #SustainablePractices #startup

https://t.co/kbHRqMNYK4",200,1,1,"en",353,264,"https://t.co/3WlvXbn55V","Find your next Opportunity 👉","#1 Site for Climate and Climate Tech Careers!

Search ➙ Apply ➙ Get Hired & Make a Real Difference

#Climate #ClimateTech #ActOnClimate #ClimateJobs #ActNow",FALSE,TRUE
"13","Former banker becomes Africas first Heat Officer. https://t.co/58fMdLENWp

#GlobalWarming #ClimateChange #NetZero #CarbonCompetitiveness",136,0,0,"en",6725,1714,NA,"Kenya","Passion 4 Africa. #SustainableFinance #ResponsibleInvestment #GreenFinance. Eisenhower Fellow. Top40Under40. #AngazaAwards #NFNV #Lupus #lawlessMA3. My views.",FALSE,TRUE
"14","@N76247476Man Yup! The Devil is a Liar &amp; #ClimateChange #CovidVaccines #Ukraine #2020Election #BidenAdmin Are All Lies! 
Pray Scripture This Day - Matt 6:13 And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever. Amen. https://t.co/iOskznC2L6",291,0,0,"en",486,776,NA,"New Mexico, USA","Don’t Tread On Me! President Trump NOW. Christian, Married, Die-Hard Patriot! MAGA RINO-Hunter",FALSE,TRUE
"15","After surveying media channels for novel terms and words that help explain climate and sustainability challenges we expect to face in 2023, here we provide a list of new terms you are likely to encounter. #sustainability #climatechange
https://t.co/VfIemIzojM https://t.co/PIxpkUiyjq",259,0,0,"en",67,181,"https://t.co/2iWyAze2ZQ","Chicago","Welcome to Emergent, the healthy living agency! Emergent provides marketing, strategy, communications & insights for brands in the healthy living space.",FALSE,FALSE
"16","@Ubiquity2011 @MyLordBebo @rob49up Probably, #climatechange. 🤔",62,0,0,"en",617,332,NA,"Always QUESTION ","Fossil fueled FUTURE...",FALSE,TRUE
"17","Millions rely on #agriculture for their livelihoods, but this sector is highly vulnerable to #climatechange. Shifts towards climate-smart agriculture and #foodsystems are critical.

Learn more: https://t.co/xW3DrXXIUZ https://t.co/ZACd6IRACN",217,0,0,"en",406,524,"https://t.co/9kdiWA44dU","Washington, DC","A learning space that empowers humanitarian & development professionals with the tools to build a world where communities can thrive beyond crises.",FALSE,TRUE
"18","Last year we launched Planning for Tomorrow's Environment - a digital series looking at how planners are tackling #climatechange in an innovative way.

A series of films, articles and a documentary are available here:
https://t.co/sU9wa0aFWW
#Planning4Tomorrow https://t.co/Be3ivLEYCd",260,0,0,"en",24223,2955,"https://t.co/blsvaqGVxw","UK","The RTPI champions the power of planning in creating prosperous places and vibrant, diverse communities. Official magazine @ThePlanner_RTPI",FALSE,FALSE
"19","RT @mindingottawa: DOCUMENTS: Canada has so many #PolarBears they're a nuisance, says federal report contradicting @CathMckenna claims #Cli…",140,680,0,"en",6,79,NA,"Kelowna, British Columbia","appreciates freedom, loves Adventures, risk taker, outgoing, friendly, trusts the Lord Jesus Christ in all things",FALSE,TRUE
"20","RT @PCarterClimate: NEW WARMING FEEDBACK: SLOWING AMOC
The Atlantic Meridional Overtuning Circulation (AMOC) is slowing (far earlier than p…",140,43,0,"en",774,568,"https://t.co/gkpRsNa7Kk","Den Haag","Halbe Hibma, geboren in de jaren '80, achtergrond in Life Sciences, docent Natuurkunde/Scheikunde. Bestrijdt actief desinformatie. Blogger voor klimaatveranda.",FALSE,FALSE
"21","RT @BHI_GLOBAL: Biodiversity is declining at an unprecedented rate, and the pressures driving this decline are intensifying.

Options are a…",140,98,0,"en",86,105,NA,"","Use every gram of food for persons first, for organic compost after .....",FALSE,TRUE
"22","Another Win for Renewables.

#svenvanzanten #solar #renewables #climatechange #sustainability #Environment #Energy #CleanEnergy #electricity #solarenergy #SolarPower #energietransitie #zonnepanelen #klimaat #Nederland https://t.co/XlPXW8NMk9",217,0,0,"en",889,994,"https://t.co/atjXpYNOaz","Netherlands","Welcome to the twitterpage of Sven van Zanten. Sharing knowledge about future proof energy solutions, fighting climate change using technologic innovation.",FALSE,TRUE
"23","Tar sands companies are finally saying what we've all known for years — they can't slash emissions without cutting production. Of course they're trying to use that to delay the fed gov's proposed emissions cap #ClimateChange #ClimateAction

https://t.co/auaJF0KWrB",264,0,0,"en",15335,2616,"https://t.co/ZJx7xWsWxt","Unceded Coast Salish territory","People-powered wilderness preservation for a wild future. Keeping it wild for 40 years! See also @wildernewsMB @wildernewsON",FALSE,FALSE
"24","COP27 was a frustrating event that proves that slow changes can add up to climate progress while demonstrating that the climate response must go much faster.
#Sustainability #Climate #COP27 #Climatechange #Sustainable #Environment #Environmentalism
https://t.co/ioMvuwenuz https://t.co/nt1MuMytOY",272,0,0,"en",72462,4795,"http://t.co/EyF50QgzNk","Dallas, TX","More Ideas, Less Waste.",TRUE,FALSE
"25","RT @EIA_News: #Indonesia to restore 600,000 hectares of degraded #mangrove forests by 2024

https://t.co/jXzqjwhIy8

#deforestation #climat…",140,3,0,"en",102,254,NA,"","I'm just me..I was already on hear earlier today/ tonight i changed my settings on my tablet on my twitter went into reset 🙃 from scratch again weeee,fun 🙃",FALSE,TRUE
"26","RT @IndiaGreenBldg: Considering the Environmental Effects of Solar Panels: https://t.co/uvRf2Fwy4t #solar #solarpanels #energy #renewableen…",140,30,0,"en",281,79,"https://t.co/vUKioHf5UY","","A companion Twitter to the CT Green Building Group on Rate It Green, to help Connecticut green builders and organizations share events, news and information.",FALSE,TRUE
"27","RT @EIA_News: #Indonesia to restore 600,000 hectares of degraded #mangrove forests by 2024

https://t.co/jXzqjwhIy8

#deforestation #climat…",140,3,0,"en",1815,651,NA,"Calgary, Alberta","I like the outdoors,animals/wildlife🐾🦈etc.I’ll always be straight up with you & tell you how I feel. I’m not a hunter nor would I want to ever be one😡",FALSE,TRUE
"28","✨ #MarxeSchool Professor Deborah Balk has been featured in a NY-1 News article - Population Shifts Caused by Climate Change Could Affect Inland Neighborhoods: Report.

https://t.co/SQtU29RMFr

#MarxePride #MarxeFaculty #ClimateChange",233,0,0,"en",919,798,"https://t.co/SmgddEq23W","New York, NY","The Marxe School of Public and International Affairs delivers undergraduate and graduate degrees in public policy and administration. #MarxeSchool #MarxeImpact",FALSE,TRUE
"29","https://t.co/nf3YCkDTpf #ESG #impactinvesting #climatechange #DEI #inclusion #corpgov #sustainability #CSR #SRI #investment #SDGS #sustainablefinance #corpgov @AlexandriaESG @futureguru @impinvinstitute @ReclaimFinance @IFC_org @ImpactMoneyBlog @SharonAlpert @UpstartCoLab",272,0,0,"und",3433,3403,"https://t.co/QQiWMwzFbP","","Non-profit working to make corporations environmentally and socially responsible. #ESG #CSR #SRI #DEI #sustainability #Corpgov Join today! RT≠endorsement",FALSE,TRUE
"30","RT @EIA_News: #Indonesia to restore 600,000 hectares of degraded #mangrove forests by 2024

https://t.co/jXzqjwhIy8

#deforestation #climat…",140,3,0,"en",1650,662,NA,"Calgary, Alberta","I enjoy the outdoors & I love all animals/wildlife🐾🦈I’ll always say/let you how I feel straight up!  I’m not a hunter nor would I ever want to be one😡",FALSE,TRUE
"31","After surveying media channels for novel terms and words that help explain climate and sustainability challenges we expect to face in 2023, here we provide a list of new terms you are likely to encounter. #sustainability #climatechange https://t.co/Fm7LOdheyc",259,0,0,"en",2182,4479,"http://t.co/ifjCPf7s","Chicago, IL","CEO of firm helping food and beverage brands and retailers transform and grow their businesses. We engage the consumer's growing passion for healthy lifestyle.",FALSE,FALSE
"32","@LionElectricCo sends best wishes to @CAgovernor as he’s sworn in and continues to advocate for #climatechange and the move toward #electrification. We look forward to working with you and your team! @CaliforniaEPA @CALSTART @CalEnergy #future https://t.co/f56kx2siZC",243,0,3,"en",11698,168,"https://t.co/cCQBMfEsDi","Canada","Lion Electric is a manufacturer of all-electric heavy-duty vehicles. / Lion Électrique est un manufacturier de véhicules lourds 100% électriques.",FALSE,TRUE
"33","I'm the first to agree that climate change is not evident through individual weather events. But the trend of average global temperatures over 140 years is pretty obvious.
And pretty stark.
#ClimateChange #ClimateEmergency #UseLessLoveMore https://t.co/JlhoIdKmyR",239,0,0,"en",318,556,"https://t.co/YUNMMamfi2","Ontario, Canada","He/Him
Church Leader. BA- MBI
Earth Scientist. BS, MS- PSU
Data Analyst
Queer, INFP, Canadian

Climate Change is real
Queer Christians are real
#UseLessLoveMore",FALSE,FALSE
"34","Integrating tsunami risk in climate action plans and strategies save lives and better protect communities against tsunamis. Be ready to mitigate, prepare and respond to tsunamis. Join us in the fight against #climatechange. https://t.co/R5t8VKW0j1",223,0,0,"en",45,93,NA,"","Global Covenant of Mayors for Climate and Energy in Canada",FALSE,TRUE
"35","Integrating tsunami risk in climate action plans and strategies save lives and better protect communities against tsunamis. Be ready to mitigate, prepare and respond to tsunamis. Join us in the fight against #climatechange. https://t.co/FK4cxBvFGu",223,0,0,"en",36,92,NA,"","Global Covenant of Mayors for Climate and Energy in the US",FALSE,TRUE
"36","RT @TheB1M: New York's Governors Island is to be transformed into a public laboratory focused on tackling climate change - https://t.co/dUM…",140,11,0,"en",2443,4959,NA,"","",FALSE,TRUE
"37","Several states saw record-breaking temperatures this year, resulting in school closures and teacher strikes.

Madeline Will and Arianna Prothero join #EWARadio to explain why #ClimateChange is an education story: https://t.co/lhTDcNRkod",236,0,0,"en",34981,465,"http://t.co/wDxNGozyou","Washington D.C.","The Education Writers Association is a non-profit membership organization of journalists who cover the education beat.",FALSE,FALSE
"38","#Texas #agriculture agency says #ClimateChange threatens state’s food supply https://t.co/5y3UZx4RIP via @TexasTribune",118,0,0,"en",28524,25494,"https://t.co/Exy045PZz2","Los Angeles, CA","#sustainability #ConsciousConsumer #CircularEconomy #recycling #ESG #ClimateCrisis
https://t.co/Exy045PZz2 @AdvanceEsg 
https://t.co/EU2lEuXbIl",FALSE,FALSE
"39","Are you passionate about #climate action? Tell us how you’re committed to battling #climatechange and win one of the five OYW scholarships sponsored by Deloitte to attend the next #OYW2023! @OneYoungWorld https://t.co/38TZ046elF https://t.co/gHV0tnag03",228,0,0,"en",568805,1403,"https://t.co/xSCVjkqNCd","Global","Sharing the latest news, research, events and more from Deloitte Global and the Deloitte network of member firms. More https://t.co/oojJsBJUDZ",TRUE,FALSE
"40","vamping it up https://t.co/B0X2SOXtrt #Harmonica #BluesHarp  #twitterquote #ClimateChange #ToryBritain",102,0,0,"en",2551,1373,NA,"","#ClimateChange #freemusic #acousticmusic #NowPlaying #followback #ClimateAction #GTTO #ToriesOut",FALSE,TRUE
"41","RT @uvagutTV: Elders' Hour - INUIT VOICES ON CLIMATE CHANGE
Tonight on UvagutTV  - 8:00 PM
Zacharias Kunuk speaks with elders about the imp…",140,1,0,"en",1374,3795,NA,"Ottawa","Ottawa based. Montreal born. Arctic Issues Consultant. Runner. Rugby fan. Antique typewriter + electronic music collector.",FALSE,FALSE
"42","RT @ProfMarkMaslin: Anthropocene is a critical philosophical term, we have talked about things like #climatechange, #biodiversity, #polluti…",140,5,0,"en",1192,870,"https://t.co/WKWM5kLas1","Warsaw, Poland","@Orange_Polska Climate Officer #OrangeGoesGreen

Deputy Chair @PIITPolska #Climate & #Environment Committee

#climateaction #telco #space 🐿️🐿️🐿️",FALSE,TRUE
"43","RT @RJLilley: 🌊 INTO THE BLUE PODCAST

🌱 Learn more about the vital importance of #seagrass meadows the powerhouse of coastal seas!

🌍 Join…",140,1,0,"en",290,465,"https://t.co/04Z6FZKFF6","Swansea University","Coastal and Marine Science Researcher at Swansea University • UKRI SMMR ReSOW project • @projectseagrass Associate Scientist • CAA drone pilot • Views my own •",FALSE,FALSE
"44","Air pollution is one of the biggest contributors to global warming and #ClimateChange. It's estimated that air pollution contributes to around 8 million premature deaths annually. #WeCanDoBetter https://t.co/BUVReHZYy7",218,0,0,"en",4200,2056,"https://t.co/3groQoWAaN","","We are focused on educating and empowering people to be more resourceful about how we use energy and water. #WeCanDoBetter",FALSE,FALSE
"45","RT @neilrkaye: Daily global mean temperature over 2022. 
#dataviz #GlobalWarming #climatechange #ERA5 https://t.co/sEddpBPgwI",125,4,0,"en",29,767,NA,"","",FALSE,TRUE
"46","RT @Kanthan2030: It's the manipulation of the Y-Axis! Rather than starting at 0, it starts at 260.

Now, the same data, same chart... with…",139,5,0,"en",397,103,NA,"","Deep-diving 🐳 into $XRD by @radixdlt - the future #DeFi done right!
""𝙇𝙞𝙫𝙚 𝙬/𝙤 𝘽𝙡𝙞𝙣𝙠𝙚𝙧𝙨""
🕆",FALSE,TRUE
"47","A volatile business... #nuclear #powerplants #chernobyl #fukushima #environment #climatechange  https://t.co/KU7tpmMQtW",119,0,0,"en",245,250,"https://t.co/luZ4V2AJPw","Stockholm, Sweden","I dance for joy. I work as a copywriter and lifecoach. And I celebrate Mother Earth by my being. Founder of @TelluselleLivin © Hannah Telluselle",FALSE,FALSE
"48","Will #EconomicGrowth end, soon?  Check out the work of Dr. Davies from Utah State University, first speaker of our new Global Changes Series, to see his case:

https://t.co/ID2FpkP4E8

#exponentialgrowth #sustainability #climatechange",234,0,0,"en",503,443,"https://t.co/krErp5ACLP","Jackson Hole, WY","Jackson Hole’s nonpartisan thank & do tank focused on #climatechange #coalcommunities #USChina #leadership #JacksonHole #globalaffairs #diplomacy",FALSE,FALSE
"49","RT @EmergentLiving: After surveying media for novel terms to explain climate and sustainability challenges we will face in 2023, here we pr…",140,1,0,"en",67,217,"https://t.co/lCIgDAXYkw","Greater Chicago","Brand Strategist & Communicator, Consumer Empathizer. Food & Pet Advocate, Pro Cursive.",FALSE,TRUE
"50","Now for sale! Climate Change Is Real! Disability Friendly All - Over Print Tote Bag, Catheter, Medical, And Wheelchair Bag https://t.co/pmip7JsMM1 via @Etsy #ClimateChangeIsReal #ClimateChange #GlobalWarming #DisabilityProduct #bags #totebag",241,0,0,"en",219,970,"https://t.co/vUWjUfE6c6","Newburgh, NY","Derrek's Bags was started by a 32 year old named Derrek who was born with Spina Bifida. I sell bags for people to put catheters, medical things, etc in them.",FALSE,TRUE
"51","RT @gh_eco: An important outcome from COP 27 was the request for #ClimateEducation. Educated people want to act on #ClimateChange. #Fridays…",140,2,0,"en",541,154,"https://t.co/h0tKzoriSy","","",FALSE,TRUE
"52","@NiranjanAjit Paging @rtenews @MaryWilsonNews @IrishTimes @TodaywithClaire How to report #ClimateChange &amp; #climateAction",124,0,0,"en",3450,930,"https://t.co/CKtGXe9wv9","Ireland","Historian early modern Irish parliaments & towns & #palaeography. F.R.Hist.S. #Gaeilge #andacyclist 🚲. Also at bridmcgrath@mastodon.ie RT ≠ endorsement",FALSE,TRUE
"53","RT @climatecouncil: ""Throughout my 20 years of advocating for climate action, we have been warned that #ClimateChange would intensify the s…",140,38,0,"en",109,132,NA,"Melbourne AU","Just me.",FALSE,FALSE
"54","We're looking for additional collaborators in the Southern hemisphere, particularly across Oceania and Africa. Take a look below for more information on how to participate!

@OxfordBiology @OxfordEnvRes

#Ecology #Biodiversity #Marine #Intertidal #Pollution #Climatechange https://t.co/FHYOW8TwGL",272,0,1,"en",804,1065,"https://t.co/aknFy1R3bj","Belfast, NI","23 | NERC PhD student @UniofOxford @OxfordBiology @OxfordEnvRes | Aquatic ecology, zoology & conservation 🦀🐠| he/him | #BiInSci 🏳️‍🌈 | 🇮🇪",FALSE,TRUE
"55","RT @SochVideos: سندھ حکومت کا دعوی تھا کہ ملیر ایکسپریس وے کی تعمیر میں کسی کو بے گھر نہیں کیا جائے گا۔ لیکن ہوا کیا؟

@BalochHafeez201 @Sa…",140,10,0,"ur",189,332,NA,"","Blah",FALSE,TRUE
"56","https://t.co/6QL5XGmTEY https://t.co/6QL5XGmTEY https://t.co/6QL5XGmTEY https://t.co/6QL5XGmTEY #art #artist #artonline #digitalart #photographicart #photography #artgallery #listening #ClimateChange #JohnsonMustGo",214,0,2,"und",302046,23788,NA,"United Kingdom","looking in-looking on,
making art, still trying to work out the difference between a smile & a grin
#sculptor #artist #poet #women #Satire #writer #animation",FALSE,FALSE
"57","RT @saveLBIorg: #NorthAtlanticRightWhale -a key part of our #marineecosystem -holds large amounts of carbon that would otherwise contribute…",140,3,0,"en",7,38,NA,"","Beach bum",FALSE,TRUE
"58","RT @BisonJeff: I made a little cameo on the @TODAYshow! They were covering my research about #bison shrinking with #climatechange!

Thanks…",139,6,0,"en",1247,143,"https://t.co/kO98Dea8zu","Atlanta, GA","The mission of the Turner Foundation (TFI) is to protect and restore the natural systems – air, land, and water – on which all life depends.",FALSE,TRUE
"59","💥AP Took $8 Million Bribe For Climate Reporting‼️

How Green Investors Pay the Media to Promote #ClimateChange
AP takes millions from groups leveraged in green investments to promote the need for green investments

Social media then censors any opposition https://t.co/QA46peFczK",279,0,0,"en",160,766,NA,"","ReTweeted by President Trump twice & followed by Gen Flynn, Bongino, Hannity, et al on previous acct. Christ follower.",FALSE,TRUE
"60","RT @BisonJeff: I made a little cameo on the @TODAYshow! They were covering my research about #bison shrinking with #climatechange!

Thanks…",139,6,0,"en",5494,3803,NA,"Rent 🆓️ in a Hater's Head","2022 was the last year doing a 9 to 5, besides the other shit kinda live...#GoDawgs & as always Free Twonye & Chan!!!",FALSE,TRUE
"61","Right on the edge, in most cases replacing #cobalt w/ #nickel. But my question is,will hypocritical outrage of human rights abuse of cobalt extraction for #EV #energystorage extend to all uses of cobalt,or just applications to address #climatechange? https://t.co/GooXkBarUl",250,0,0,"en",3112,1171,NA,"Oak Park, IL","Solar consultant, 21st Century 100% renewable electricity&energy, enviro justice&equity LEAF #EV owner jazz microbrew distilleries RT's not necessarily support.",FALSE,TRUE
"62","RT @IndianExpress: ExpressExplained | A study has revealed that as the Earth gets warmer, #termites will rapidly spread across the world. T…",140,4,0,"en",12,126,NA,"New Delhi, India","My versatility speaks about my peers that made me phenomenal & genuine in correctness...!!!",FALSE,TRUE
"63","RT @BisonJeff: I made a little cameo on the @TODAYshow! They were covering my research about #bison shrinking with #climatechange!

Thanks…",139,6,0,"en",13957,12022,"https://t.co/JHQ8yOilQe","Atlanta, GA","Dep. Chief Sustainability Officer @CityofAtlanta @ATLResilience |@UofDenver Pio | #Grist50 @GreenBiz #30under30 | Board Member: @TurnerFdnInc @CaptainPlanetFd",FALSE,FALSE
"64","RT @climatecouncil: ""Throughout my 20 years of advocating for climate action, we have been warned that #ClimateChange would intensify the s…",140,38,0,"en",2405,4988,"https://t.co/CRzhCXK3M2","Oregon, USA","Snake Charmer,
Cage Fighter,
Writer",FALSE,TRUE
"65","Here's our first positive climate news scoop of the year! Let’s hope the good news continues throughout 2023 👏

#ClimateNews #GoodNews #GoodNewsFeed #GoodVibes #NatureNews #PositiveNews #ClimateChange #ClimateAction #NewsUpdate https://t.co/IFZzTECmEG",227,0,0,"en",799,983,"https://t.co/DZlg0mBjeU","","Putting carbon in its place. 🪨We do enhanced weathering.🌱",FALSE,TRUE
"66","Massime di cinque gradi più alte delle medie del periodo. #climatechange #CambiamentiClimatici https://t.co/60jwuSiwVE",94,0,0,"it",285,474,NA,"","Giornalista @tgrrailombardia",FALSE,FALSE
"67","RT @Nature_NeedsUs: @sanchezcastejon #España #Spain 
In these difficult years with:
#COVID19
#UkraineRussiaWar
#dryness (#climatechange)
I…",139,2,0,"en",23550,23793,NA,"milky-way galaxy,solar sys, 🌎","#Environment_Influencer🌱PhD in polymer|Green activities|waste management|let's change the world❤️|
#humanRight🍀#womenRight✌️Left political parties are better",FALSE,TRUE
"68","RT @Europeanaeu: Do you care about the #ClimateEmergency? Do you want to help reverse its momentum? Join the Europeana #ClimateAction Commu…",140,1,0,"en",506,505,"https://t.co/HJBkEXT6D6","Europe","MCA (AISBL) is a #European trans-domain #network for promotion & valorization of #Digital #Culture #Heritage",FALSE,TRUE
"69","Cutting emissions remains undeniably important in a warming world, but the role of invention to help avert disaster is also worthy of attention. #climatechange https://t.co/kiCGVKYpDT",183,0,0,"en",65,61,"https://t.co/Ok3FyOmUyt","British Columbia, Canada","At FlipSide Sustainability we know that doing business right builds a better world for clients, employees, stakeholders and the environment.",FALSE,TRUE
"70","@EPA moves to toughen standards for deadly soot pollution https://t.co/UPEB3R9exG #ClimateFinance #ClimateChange #ESG",117,0,0,"en",2022,3987,"https://t.co/UOER5qiXhF","Global","Communications, media, government affairs, business development exec in banking, finance, accounting, tech, Gov & ESG/CSR. Reach me at: dcolgren@colcomgroup.com",FALSE,FALSE
"71","RT @saveLBIorg: #NorthAtlanticRightWhale -a key part of our #marineecosystem -holds large amounts of carbon that would otherwise contribute…",140,3,0,"en",455,1305,NA,"Jersey","Marketing & Research Strategist. “Just a Guy from Jersey”☀️#LBI☀️ #Yankees #Giants #Knicks Chittarista 🎸 🇮🇹 🤌",FALSE,TRUE
"72","RT @IFAD: Mangroves reforestation can help communities cope with #ClimateChange &amp; improve lives and livelihoods.
 
Just ask Marianne 👇 http…",144,1,0,"en",2266,1924,"https://t.co/v5CWDObO4X","Stockholm","#Legacy17: an invitation-only group of global #thoughtleaders for #transformation; successful realisation of the 17 #SDGs through #SocialInnovation. #TalkToUs",FALSE,FALSE
"73","How to impact Climate Change in Mental Health.

Higher temperatures resulting from climate change can have negative impacts on mental health, including worsening mood, while psychiatric disorders tend to increase during heatwaves. Image: Unsplash/Matt Palmer.
#ClimateChange",274,0,1,"en",223,2555,"https://t.co/PNo9BE3zZo","srilanka ","SOME MISSION'S ARE NOT A CHOICE",FALSE,TRUE
"74","RT @NelsonSwitzer: Good article on the plight of #plastics and its contribution to #climatechange. 

The recommendations at the end of the…",139,1,0,"en",10414,9,"https://t.co/qC2G7DUe6M","www.plasticsimpact@gmail.com","Small organisation raising awareness about hazardous #impacts of plastic for a clean/healthy planet.

Initiated #SUPsep movement 

:https://t.co/DVaZjlgaew",FALSE,TRUE
"75","RT @IFAD: The fight against #ClimateChange is a fight against poverty.

#ActOnClimate https://t.co/DKSo73XYbs",109,36,0,"en",656,561,NA,"","views expressed here are my own",FALSE,TRUE
"76","RT @EnviroVigyan: #natureinnews #europe #climatechange #globalwarming #spring #heatwave #heatwaves #winter #winterheatwave #sustainability…",139,2,0,"und",651,5001,NA,"Central New Hampshire","I am a father of 3 from central NH trying to lead a movement to protect the environment/climate for my children & grandchildren.A moderate independent.",FALSE,TRUE
"77","Sejumlah pakar energi hijau di USwitch visualisasikan wajah kota-kota dunia saat perubahan iklim melanda.

https://t.co/IWSY13AS24

#Sustainable #Sustainability #Berkelanjutan #Keberlanjutan #CSR #MajalahCSRid #Indonesia #Bumi #ClimateChange #Emisi #EmisiGasRumahKaca #EmisiKarbon",280,0,0,"in",176,1375,"https://t.co/562QBfD5Ny","Jakarta Capital Region","- Panduan Bisnis Berkelanjutan - #Sustainability #CSR 
#TanggungJawabSosial

csr@dasastrategic.com",FALSE,FALSE
"78","Climate risk and response: Physical hazards and socioeconomic impacts. (McKinsey) #ClimateChange #Environment https://t.co/fVuqitSXdt https://t.co/Uuj20xFW8S",157,0,2,"en",117240,106642,"https://t.co/pppp3rfGkP","Waterloo, Ontario Canada","@Expeflow helping IMEs and #Insurance firms automate their #Claims workflow. #ChangeAgent following #DigitalTransformation #InsurTech #BigData #IoT #IoTPL #IoTT",FALSE,TRUE
"79","RT @SochVideos: سندھ حکومت کا دعوی تھا کہ ملیر ایکسپریس وے کی تعمیر میں کسی کو بے گھر نہیں کیا جائے گا۔ لیکن ہوا کیا؟

@BalochHafeez201 @Sa…",140,10,0,"ur",527,852,NA,"Islamabad","Goal is to have good living conditions & environment for Islamabad & Rawalpindi",FALSE,TRUE
